title,genre,budget,year,month
The Man from U.N.C.L.E.,Comedy,75000000,2015,8
Spanglish,Comedy,80000000,2004,12
Monster House,Animation,75000000,2006,7
Bandits,Action,75000000,2001,10
First Knight,Action,55000000,1995,7
Anna and the King,Drama,75000000,1999,12
Immortals,Fantasy,75000000,2011,11
Hostage,,52000000,2005,3
Titan A.E.,Animation,75000000,2000,6
Hollywood Homicide,Action,75000000,2003,6
Soldier,Action,75000000,1998,10
Carriers,Action,0,2009,9
Monkeybone,Adventure,75000000,2001,2
Flight of the Phoenix,Action,45000000,2004,12
Unbreakable,Science Fiction,75000000,2000,11
Minions,,74000000,2015,6
Sucker Punch,Action,82000000,2011,3
Snake Eyes,Crime,73000000,1998,8
Sphere,Science Fiction,75000000,1998,2
The Angry Birds Movie,,73000000,2016,5
Fool's Gold,Romance,70000000,2008,2
Funny People,Comedy,75000000,2009,7
The Kingdom,Thriller,70000000,2007,8
Talladega Nights: The Ballad of Ricky Bobby,Comedy,72500000,2006,8
Dr. Dolittle 2,Comedy,70000000,2001,6
Braveheart,Action,72000000,1995,5
Jarhead,Drama,72000000,2005,11
The Simpsons Movie,Animation,75000000,2007,7
The Majestic,Drama,72000000,2001,12
Driven,Action,94000000,2001,4
Two Brothers,Adventure,74500000,2004,4
The Village,Drama,60000000,2004,7
Doctor Dolittle,Comedy,71000000,1998,6
Signs,Drama,72000000,2002,8
Shrek 2,Adventure,150000000,2004,5
Cars,Animation,120000000,2006,6
Runaway Bride,Comedy,70000000,1999,7
xXx,Action,70000000,2002,8
The SpongeBob Movie: Sponge Out of Water,Animation,74000000,2015,2
Ransom,Action,80000000,1996,11
Inglourious Basterds,Drama,70000000,2009,8
Hook,Adventure,70000000,1991,12
Die Hard 2,Action,70000000,1990,7
S.W.A.T.,Action,80000000,2003,8
Vanilla Sky,Drama,68000000,2001,12
Lady in the Water,Drama,75000000,2006,7
AVP: Alien vs. Predator,Adventure,70000000,2004,8
Alvin and the Chipmunks: The Squeakquel,Comedy,75000000,2009,12
We Were Soldiers,Action,75000000,2002,3
Olympus Has Fallen,Action,70000000,2013,3
Star Trek: Insurrection,Science Fiction,70000000,1998,12
Battle: Los Angeles,Action,70000000,2011,3
Big Fish,Adventure,70000000,2003,12
Wolf,Fantasy,0,1994,6
War Horse,Drama,66000000,2011,12
The Monuments Men,,70000000,2014,1
The Abyss,Adventure,70000000,1989,8
Wall Street: Money Never Sleeps,Drama,70000000,2010,9
Dracula Untold,Horror,70000000,2014,10
The Siege,Drama,70000000,1998,11
Stardust,Adventure,70000000,2007,8
Seven Years in Tibet,Adventure,70000000,1997,9
The Dilemma,Comedy,70000000,2011,1
Bad Company,Action,70000000,2002,6
Doom,Adventure,60000000,2005,10
